Ticker,Año,Beneficio,Capital_Invertido,Rentabilidad_%
DE,2018,663.9611719914219,150419.41331127926,0.441406569388364
DE,2019,-1313.2782028290512,98266.22098110481,-1.336449280044641
DE,2020,1764.6226648359966,83810.53675117402,2.105490232182862
DE,2021,4479.836891139533,159705.15515704174,2.805067179412215
DE,2022,-1445.1940486049712,72527.89970424102,-1.9926043005495504
DE,2023,-418.0820484347332,33189.89337982067,-1.2596667414693339
DE,2024,-408.64411614340406,39745.049245010516,-1.0281635673019178
DE,2025,681.2485443611813,29239.323277748834,2.3299053055705032
DVN,2018,270.3964599408464,281962.66466117813,0.09589796587635803
FANG,2018,-3937.721119240112,214777.79245508628,-1.8333930497323445
FANG,2019,2303.608743106831,255787.64336837688,0.9005942244791121
FANG,2020,-3254.81876923197,358771.3106781765,-0.9072126651039812
FANG,2021,6398.851906603547,350040.4144173139,1.828032319426669
FANG,2022,925.9837875357825,20624.12924745654,4.489807915890456
GS,2018,-746.395110784646,97073.8424712989,-0.7688941652900235
GS,2019,578.7903089008905,71200.03443080452,0.8129073441156629
GS,2020,-194.12624319961378,89354.15830158241,-0.2172548506857525
GS,2021,977.6482702634476,27483.21413265437,3.5572559510128334
HAL,2018,-4243.431455254437,128024.91242341345,-3.314535721938436
HAL,2019,-1522.2560951203777,191946.70730499216,-0.793061843307164
HAL,2020,-6319.789241696544,230507.5236173508,-2.7416845847459532
HAL,2021,3879.787196224106,273980.3290583422,1.4160823915931324
KLAC,2017,-159.5072030032461,22500.0,-0.7089209022366493
KLAC,2018,-200.48491483426005,172920.39852918958,-0.11594058106477097
KLAC,2019,86.02203803002885,88446.3324280165,0.09725902213078118
KLAC,2020,2018.671435679139,177777.8390280367,1.1355022913518382
KLAC,2021,3608.2454103996315,220655.58798070933,1.6352386284072171
KLAC,2022,1563.745619364283,187444.9744235684,0.8342424885879817
KLAC,2023,1325.055480438663,61524.129013246595,2.1537167639599883
KLAC,2024,-309.76659064092837,93889.91393209681,-0.3299253111095172
KLAC,2025,413.0588155366495,83866.92754117124,0.49251692848038836
KLAC,2026,253.11594745906677,10096.822030321278,2.506887282938597
LCID,2021,4144.53524076279,478950.25020145264,0.8653373161449535
LCID,2022,-4526.457309378338,177614.93328801027,-2.548466632610498
LRCX,2018,-2684.7884265267403,239303.3053527395,-1.1219186557282566
LRCX,2019,2229.7551998084546,27004.58931262484,8.25694912074085
MRVL,2018,-2353.861049271839,196850.01129798245,-1.1957637359282003
MRVL,2019,1423.8788982949418,39240.354228480166,3.6286086766808743
MS,2018,333.5249398277956,69824.68089371252,0.4776605285679557
MS,2019,-508.25715273345304,48835.62255164459,-1.0407508416544942
MS,2020,-966.8183232681858,110479.43383080565,-0.8751115838888397
MS,2021,908.7955293711375,54023.95904420887,1.682208311737117
MS,2022,-1346.2223422033094,68970.00881363987,-1.9518952735541384
MS,2023,-71.42959308658374,20462.77774010372,-0.34907085437669266
MS,2024,454.4689956437669,34788.42742349416,1.3063798202526506
MS,2025,179.80320638919466,25241.35042366809,0.7123359224893069
MS,2026,322.694942735583,14838.51186156026,2.1747123009790275
MU,2018,2084.324510319104,286747.81907263794,0.7268841719738103
MU,2019,3458.205164693868,231119.7918520129,1.496282571467602
MU,2020,2674.5336453060754,193031.1424560854,1.3855451567430537
MU,2021,921.3385891057314,215864.23529955355,0.4268139128407238
MU,2022,-2631.0636067918485,153250.86171993832,-1.716834461655455
MU,2023,-118.36253139791552,9096.208415471134,-1.3012293253593508
NET,2019,263.89102258815547,83223.5504943847,0.3170869555799123
NET,2020,5875.812028215082,102748.40540908772,5.7186406006213195
NVDA,2018,-939.073212875659,227861.9825144902,-0.41212369106634167
NVDA,2019,1505.313914422838,76329.27297795966,1.9721318646091426
OKTA,2018,2675.4908292776445,318850.7683867346,0.8391044007247106
OKTA,2019,4369.639870907178,222168.44351448625,1.9668139191074006
OKTA,2020,3210.1518299130107,177184.40242676562,1.811757573435303
OKTA,2021,-4881.623178194459,180326.44168081816,-2.707103369141527
OKTA,2022,-1484.821335454913,150859.95232644424,-0.9842382372241004
ON,2018,470.61320115811804,222041.7186704686,0.2119480987519078
ON,2019,1149.1158609494878,151413.18163112816,0.7589272271874958
ON,2020,-682.4512975710832,136009.76067153522,-0.5017664130879615
ON,2021,2697.604205972503,190276.0165825389,1.4177321211695235
ON,2022,893.5182186867855,176194.36399767653,0.5071207718645123
ON,2023,1213.3655162470432,116344.7857799847,1.0429049382080549
ON,2024,1405.2028162669985,129537.35102088828,1.0847858206089187
ON,2025,1910.1545162601337,118724.75833811158,1.6088931601109513
OXY,2018,354.18217649865073,69705.78477007816,0.5081101628321193
OXY,2019,-1788.8731057144514,126048.36032517852,-1.4191958555426911
OXY,2020,564.7350634452741,292590.04662389855,0.19301239736674863
OXY,2021,3223.7401844702244,284677.7246258937,1.13241743403235
OXY,2022,1566.6070495073445,20246.288290022545,7.7377493941908115
PLTR,2020,3894.1954729330164,108769.65022598152,3.5802224837924688
PLTR,2021,-5300.428275822784,249708.52641075355,-2.1226460914289884
RIVN,2021,-2927.9846017524433,46749.707219321775,-6.263107890742682
RIVN,2022,-3474.577511417518,159039.4157221658,-2.18472728640266
SLB,2018,-2255.121101693,71610.899804527,-3.149131078995936
SLB,2019,-70.74819873839715,165954.25129970582,-0.04263114574306935
SLB,2020,1328.6353568806567,215291.30855030517,0.6171337643991357
SLB,2021,1875.4958071634283,171102.66117945546,1.0961231077501334
SLB,2022,1014.583206399237,69174.01209543321,1.4667115231071275
SNOW,2020,1146.7669726325244,65594.47955482555,1.7482675072892788
