Fecha,Ticker,Tipo,Precio,Capital_Operacion,Capital_Total,Retorno_%,Dias_en_Posicion,Año
2020-12-30,WDAY,SELL,236.92999267578125,292.64846748565236,37929.38245787484,-4.755588556153311,7,2020
2021-01-04,CRWD,SELL,200.49000549316406,1787.275977387918,39716.658435262754,-5.673957838361943,7,2021
2021-01-04,SNOW,SELL,278.239990234375,870.5211957464151,40587.17963100917,-8.114001361353484,7,2021
2021-01-04,TEAM,SELL,231.55999755859375,473.20585935185636,41060.385490361026,-0.10353990077837105,7,2021
2021-01-04,ADP,BUY,152.3035125732422,20530.192745180513,20530.192745180513,0.0,0,2021
2021-01-04,CMCSA,BUY,40.692054748535156,10265.096372590257,10265.096372590257,0.0,0,2021
2021-01-04,CPRT,BUY,30.162500381469727,5132.548186295128,5132.548186295128,0.0,0,2021
2021-01-04,CRWD,BUY,200.49000549316406,2566.274093147564,2566.274093147564,0.0,0,2021
2021-01-04,CSX,BUY,27.332422256469727,1283.137046573782,1283.137046573782,0.0,0,2021
2021-01-04,DDOG,BUY,91.2300033569336,641.568523286891,641.568523286891,0.0,0,2021
2021-01-04,DXCM,BUY,89.43499755859375,320.7842616434455,320.7842616434455,0.0,0,2021
2021-01-04,MAR,BUY,120.09625244140625,160.39213082172276,160.39213082172276,0.0,0,2021
2021-01-05,CRWD,SELL,211.24000549316406,2703.874201609215,2864.266332430938,5.3618632876772265,1,2021
2021-01-05,VRSN,BUY,203.95526123046875,1432.133166215469,1432.133166215469,0.0,0,2021
2021-01-06,CSX,SELL,28.53457260131836,1339.5727195102195,2771.7058857256884,4.398257620815427,2,2021
2021-01-06,DXCM,SELL,93.9800033569336,337.08622808818586,3108.7921138138745,5.08190968011395,2,2021
2021-01-06,ADBE,BUY,466.30999755859375,1554.3960569069372,1554.3960569069372,0.0,0,2021
2021-01-06,MDB,BUY,335.29998779296875,777.1980284534686,777.1980284534686,0.0,0,2021
2021-01-06,MELI,BUY,1571.97998046875,388.5990142267343,388.5990142267343,0.0,0,2021
2021-01-06,NFLX,BUY,50.04899978637695,194.29950711336716,194.29950711336716,0.0,0,2021
2021-01-07,DDOG,SELL,96.63999938964844,679.613936396404,873.9134435097712,5.9300622971024675,3,2021
2021-01-07,MAR,SELL,125.46722412109375,167.56522385981322,1041.4786673695844,4.4722225469174814,3,2021
2021-01-08,ADBE,SELL,485.1000061035156,1617.030603333972,2658.5092707035565,4.029510120584723,2,2021
2021-01-08,MDB,SELL,359.8599853515625,834.126099960429,3492.6353706639857,7.324783314265537,2,2021
2021-01-08,MELI,SELL,1719.0,424.9428833416596,3917.5782540056452,9.352537650473769,2,2021
2021-01-08,SIRI,BUY,49.483482360839844,1958.7891270028226,1958.7891270028226,0.0,0,2021
2021-01-11,ADP,SELL,151.89784240722656,20475.509261138966,22434.29838814179,-0.26635640843840624,7,2021
2021-01-11,CMCSA,SELL,41.695594787597656,10518.25230876476,32952.55069690655,2.4661817774110473,7,2021
2021-01-11,CPRT,SELL,30.217500686645508,5141.907215321417,38094.45791222796,0.1823466373151561,7,2021
2021-01-11,CTAS,BUY,80.88742065429688,19047.22895611398,19047.22895611398,0.0,0,2021
2021-01-11,DXCM,BUY,92.66000366210938,9523.61447805699,9523.61447805699,0.0,0,2021
2021-01-11,META,BUY,255.058349609375,4761.807239028495,4761.807239028495,0.0,0,2021
2021-01-12,VRSN,SELL,196.1328582763672,1377.2058128219633,6139.013051850458,-3.8353523742946094,7,2021
2021-01-12,ISRG,BUY,262.80999755859375,3069.506525925229,3069.506525925229,0.0,0,2021
2021-01-12,TMUS,BUY,123.73321533203125,1534.7532629626146,1534.7532629626146,0.0,0,2021
2021-01-13,NFLX,SELL,50.77899932861328,197.13350083661655,1731.8867637992312,1.4585696924057867,7,2021
2021-01-13,CRWD,BUY,226.4199981689453,865.9433818996156,865.9433818996156,0.0,0,2021
2021-01-13,FTNT,BUY,29.579999923706055,432.9716909498078,432.9716909498078,0.0,0,2021
2021-01-14,MDB,BUY,364.4599914550781,216.4858454749039,216.4858454749039,0.0,0,2021
2021-01-14,MTCH,BUY,144.77334594726562,108.24292273745195,108.24292273745195,0.0,0,2021
2021-01-15,SIRI,SELL,48.56245803833008,1922.330649495488,2030.5735722329398,-1.8612762856775933,7,2021
2021-01-15,BKR,BUY,20.050609588623047,1015.2867861164699,1015.2867861164699,0.0,0,2021
2021-01-15,FANG,BUY,47.9597282409668,507.64339305823495,507.64339305823495,0.0,0,2021
