Fecha,Capital_Total,Max_Acumulado,Drawdown_%
2022-04-13,13464.331210034241,271001.5239713758,-95.03164003924333
2022-04-13,13575.710515381617,271001.5239713758,-94.99054089569786
2022-04-18,4058.1024147706166,271001.5239713758,-98.5025536553074
2022-04-19,36665.60239479256,271001.5239713758,-86.47033350311885
2022-04-19,36554.89596502272,271001.5239713758,-86.51118435448953
2022-04-19,36114.461945354466,271001.5239713758,-86.6737052190271
2022-04-19,35234.52334687588,271001.5239713758,-86.99840398292466
2022-04-19,31668.09166856976,271001.5239713758,-88.31442303183702
2022-04-19,21061.729801357968,271001.5239713758,-92.22818768960776
2022-04-21,10661.534364547048,271001.5239713758,-96.0658766016116
2022-04-21,12240.574898016537,271001.5239713758,-95.48320809468606
2022-04-21,12427.60998468282,271001.5239713758,-95.41419184565343
2022-04-25,2129.3509742841,271001.5239713758,-99.2142660516887
2022-04-25,3028.9695964404414,271001.5239713758,-98.88230532727175
2022-04-25,3520.849078499471,271001.5239713758,-98.70080100403001
2022-04-25,12882.546980940566,271001.5239713758,-95.24631935933273
2022-04-27,13129.815834004736,271001.5239713758,-95.15507675322462
2022-04-27,17264.653258062586,271001.5239713758,-93.62931506618165
2022-04-28,25823.346145533043,271001.5239713758,-90.4711435688234
2022-04-28,21131.080479312004,271001.5239713758,-92.20259717744467
2022-04-28,20068.745971419732,271001.5239713758,-92.59460032647658
2022-04-28,16729.90509212825,271001.5239713758,-93.82663800300423
2022-04-28,20919.94926513825,271001.5239713758,-92.28050493644166
2022-04-28,16145.582660927015,271001.5239713758,-94.04225392377042
2022-04-28,15408.429391729182,271001.5239713758,-94.31426467057186
2022-04-28,13871.186797296465,271001.5239713758,-94.88150967049116
2022-04-28,10869.172155027318,271001.5239713758,-95.98925792159923
2022-04-28,16542.841513497988,271001.5239713758,-93.8956647656176
2022-05-02,11388.92606071053,271001.5239713758,-95.7974678910243
2022-05-02,11069.549791840245,271001.5239713758,-95.91531825001492
2022-05-02,10638.881953310789,271001.5239713758,-96.07423537794034
2022-05-02,11283.050021245986,271001.5239713758,-95.83653632057148
2022-05-02,8098.94196236143,271001.5239713758,-97.01147733648284
2022-05-02,6470.633438561174,271001.5239713758,-97.61232581140591
2022-05-02,9800.38342042061,271001.5239713758,-96.38364269071205
2022-05-03,11801.765613053663,271001.5239713758,-95.64512942949347
2022-05-03,11901.093053853676,271001.5239713758,-95.60847744342918
2022-05-03,18550.71441092538,271001.5239713758,-93.15475642384773
2022-05-03,21927.66312547447,271001.5239713758,-91.90865689456767
2022-05-04,18796.480076974294,271001.5239713758,-93.06406849617582
2022-05-06,11906.112713044557,271001.5239713758,-95.60662518108121
2022-05-10,8714.388791326184,271001.5239713758,-96.78437646267751
2022-05-12,15548.007691362856,271001.5239713758,-94.26276005259473
2022-05-12,15687.480870542793,271001.5239713758,-94.21129422423479
2022-05-12,15303.54751154251,271001.5239713758,-94.35296625374
2022-05-12,13623.996572592972,271001.5239713758,-94.97272326260719
2022-05-12,11397.483899993793,271001.5239713758,-95.79431003450829
2022-05-12,7804.942966466877,271001.5239713758,-97.11996344076232
2022-05-12,14747.518009902513,271001.5239713758,-94.55814203780632
2022-05-13,26490.345862803722,271001.5239713758,-90.22501959597771
2022-05-13,25348.229667540578,271001.5239713758,-90.64646231649311
2022-05-13,17943.81914422762,271001.5239713758,-93.37870175736616
2022-05-13,22984.049830631255,271001.5239713758,-91.51884849435056
2022-05-13,17076.851622641396,271001.5239713758,-93.69861417294277
2022-05-13,16400.400177641284,271001.5239713758,-93.94822584858468
2022-05-13,13364.636725873512,271001.5239713758,-95.06842746490048
2022-05-13,17736.174789056266,271001.5239713758,-93.45532285976013
2022-05-16,26864.03516330707,271001.5239713758,-90.08712764060155
2022-05-16,35240.51962187444,271001.5239713758,-86.99619134776648
2022-05-17,2208.2466244691586,271001.5239713758,-99.18515342935768
2022-05-17,701.0041536623762,271001.5239713758,-99.74132833521024
2022-05-17,1918.7759916486084,271001.5239713758,-99.29196856034976
2022-05-19,5027.738761403783,271001.5239713758,-98.14475627748321
2022-05-23,26638.64451242099,271001.5239713758,-90.17029715477369
2022-05-23,29643.69587879352,271001.5239713758,-89.0614283475673
2022-05-23,32238.00585305442,271001.5239713758,-88.10412377737791
2022-05-23,29361.60459932124,271001.5239713758,-89.16552048525656
2022-05-23,18124.028976649108,271001.5239713758,-93.31220403817233
2022-05-23,28696.7566994386,271001.5239713758,-89.41085043401095
2022-05-23,29225.82330280821,271001.5239713758,-89.2156240029502
2022-05-25,1227.1420877743235,271001.5239713758,-99.54718258783521
2022-05-25,1740.719578907479,271001.5239713758,-99.35767166420388
2022-05-25,1872.5578214137856,271001.5239713758,-99.30902313980656
2022-05-25,2035.0924778976682,271001.5239713758,-99.24904758907827
2022-05-26,36174.54444026483,271001.5239713758,-86.65153468137483
2022-05-26,3326.201576407063,271001.5239713758,-98.77262624664857
2022-05-26,3996.1596950573658,271001.5239713758,-98.52541061891613
2022-05-26,20829.259088286628,271001.5239713758,-92.31396975816023
2022-05-26,29808.97398330692,271001.5239713758,-89.00044046008558
2022-05-26,34018.11694198709,271001.5239713758,-87.44725991076706
2022-05-26,36454.622535730705,271001.5239713758,-86.5481854118351
2022-05-27,37907.85194346882,271001.5239713758,-86.01194141348341
2022-05-27,36808.43419225829,271001.5239713758,-86.41762833918744
2022-05-31,38403.87684864677,271001.5239713758,-85.82890742241615
2022-06-02,28028.420096373753,271001.5239713758,-89.6574677198737
2022-06-02,28197.20345386552,271001.5239713758,-89.59518638838216
2022-06-02,27711.627780501938,271001.5239713758,-89.77436459603491
2022-06-02,21035.828581724185,271001.5239713758,-92.23774528148185
2022-06-02,26450.751915109024,271001.5239713758,-90.2396298266194
2022-06-03,30676.30525080579,271001.5239713758,-88.68039382167979
2022-06-06,16227.860795496266,271001.5239713758,-94.0118931592391
2022-06-07,16400.636300956645,271001.5239713758,-93.9481387187
2022-06-08,17003.46636828447,271001.5239713758,-93.72569345031415
2022-06-08,18004.560838729172,271001.5239713758,-93.35628797400014
2022-06-08,18498.900430429763,271001.5239713758,-93.17387586632772
2022-06-08,27226.927453116943,271001.5239713758,-89.95321979960794
2022-06-10,7103.368660279931,271001.5239713758,-97.37884549275441
2022-06-10,10536.579056482416,271001.5239713758,-96.11198531208433
2022-06-10,12337.630771136144,271001.5239713758,-95.4473943207643
2022-06-10,12522.731769290107,271001.5239713758,-95.37909175351619
2022-06-15,12871.965183857179,271001.5239713758,-95.2502240595456
2022-06-15,20061.2633909761,271001.5239713758,-92.5973614107443
2022-06-16,15970.134862487364,271001.5239713758,-94.10699444473448
2022-06-16,15784.739441057176,271001.5239713758,-94.17540565464702
2022-06-16,16060.31997594164,271001.5239713758,-94.07371599222519
2022-06-16,14729.718556407648,271001.5239713758,-94.5647100648912
2022-06-16,13218.755640636475,271001.5239713758,-95.12225782094394
2022-06-16,15430.491058811791,271001.5239713758,-94.30612387978984
2022-06-17,15774.519843126483,271001.5239713758,-94.1791767027876
2022-06-17,11220.968673545849,271001.5239713758,-95.85944443813126
2022-06-17,11030.15991749808,271001.5239713758,-95.92985317725994
2022-06-17,16311.262459889205,271001.5239713758,-93.98111781038838
2022-06-17,9991.994374396067,271001.5239713758,-96.31293793925252
2022-06-17,8517.660891506046,271001.5239713758,-96.85696937541734
2022-06-17,5730.96255203901,271001.5239713758,-97.88526556306586
2022-06-17,10688.798872530471,271001.5239713758,-96.05581595413484
2022-06-21,24720.940464194493,271001.5239713758,-90.87793304557003
2022-06-21,26802.44228358944,271001.5239713758,-90.10985551268692
2022-06-21,27860.604628080724,271001.5239713758,-89.71939189868782
2022-06-21,28127.67552273029,271001.5239713758,-89.62084230725536
2022-06-22,37191.96531113038,271001.5239713758,-86.27610473693915
