Ticker,Caida_%,Dias_salida,Fecha_inicio,Fecha_final,Precio_compra,Precio_venta,Capital_aportado,Capital_liquidado,Rentabilidad_operacion_%
TSLA,3,4,2026-01-06,2026-01-12,432.96,448.96,10192.88,10569.56,3.6955
TSLA,3,4,2026-01-20,2026-01-26,419.25,435.2,10569.56,10971.67,3.8044
TSLA,3,4,2026-01-29,2026-02-04,416.56,406.01,10971.67,10693.79,-2.5326
TSLA,3,5,2025-02-21,2025-02-28,337.8,292.98,10000.0,8673.18,-13.2682
TSLA,3,5,2025-03-04,2025-03-11,272.04,230.58,8673.18,7351.35,-15.2404
TSLA,3,5,2025-03-17,2025-03-24,238.01,278.39,7351.35,8598.56,16.9657
TSLA,3,5,2025-03-26,2025-04-02,272.06,282.76,8598.56,8936.74,3.933
TSLA,3,5,2025-04-03,2025-04-10,267.28,252.4,8936.74,8439.21,-5.5672
TSLA,3,5,2025-04-16,2025-04-24,241.55,259.51,8439.21,9066.69,7.4353
TSLA,3,5,2025-04-30,2025-05-07,282.16,276.22,9066.69,8875.82,-2.1052
TSLA,3,5,2025-05-30,2025-06-06,346.46,295.14,8875.82,7561.08,-14.8127
TSLA,3,5,2025-06-17,2025-06-25,316.35,327.55,7561.08,7828.77,3.5404
TSLA,3,5,2025-07-01,2025-07-09,300.71,295.88,7828.77,7703.02,-1.6062
TSLA,3,5,2025-07-24,2025-07-31,305.3,308.27,7703.02,7777.96,0.9728
TSLA,3,5,2025-08-29,2025-09-08,333.87,346.4,7777.96,8069.86,3.753
TSLA,3,5,2025-09-25,2025-10-02,423.39,436.0,8069.86,8310.21,2.9783
TSLA,3,5,2025-10-07,2025-10-14,433.09,429.24,8310.21,8236.33,-0.889
TSLA,3,5,2025-10-24,2025-10-31,433.72,456.56,8236.33,8670.06,5.2661
TSLA,3,5,2025-11-04,2025-11-11,444.26,439.62,8670.06,8579.51,-1.0444
TSLA,3,5,2025-11-13,2025-11-20,401.99,395.23,8579.51,8435.24,-1.6816
TSLA,3,5,2025-12-08,2025-12-15,439.58,475.31,8435.24,9120.87,8.1282
TSLA,3,5,2025-12-17,2025-12-24,467.26,485.4,9120.87,9474.96,3.8822
TSLA,3,5,2025-12-29,2026-01-06,459.64,432.96,9474.96,8924.98,-5.8045
TSLA,3,5,2026-01-20,2026-01-27,419.25,430.9,8924.98,9172.99,2.7788
TSLA,3,5,2026-01-29,2026-02-05,416.56,397.21,9172.99,8746.88,-4.6452
TSLA,3,6,2025-02-21,2025-03-03,337.8,284.65,10000.0,8426.58,-15.7342
TSLA,3,6,2025-03-04,2025-03-12,272.04,248.09,8426.58,7684.72,-8.8039
TSLA,3,6,2025-03-17,2025-03-25,238.01,288.14,7684.72,9303.29,21.0621
TSLA,3,6,2025-03-26,2025-04-03,272.06,267.28,9303.29,9139.83,-1.757
TSLA,3,6,2025-04-04,2025-04-14,239.43,252.35,9139.83,9633.03,5.3962
TSLA,3,6,2025-04-16,2025-04-25,241.55,284.95,9633.03,11363.83,17.9673
TSLA,3,6,2025-04-30,2025-05-08,282.16,284.82,11363.83,11470.96,0.9427
TSLA,3,6,2025-05-30,2025-06-09,346.46,308.58,11470.96,10216.79,-10.9334
TSLA,3,6,2025-06-17,2025-06-26,316.35,325.78,10216.79,10521.34,2.9809
TSLA,3,6,2025-07-01,2025-07-10,300.71,309.87,10521.34,10841.83,3.0461
TSLA,3,6,2025-07-24,2025-08-01,305.3,302.63,10841.83,10747.01,-0.8745
TSLA,3,6,2025-08-29,2025-09-09,333.87,346.97,10747.01,11168.69,3.9237
TSLA,3,6,2025-09-25,2025-10-03,423.39,429.83,11168.69,11338.57,1.521
TSLA,3,6,2025-10-07,2025-10-15,433.09,435.15,11338.57,11392.5,0.4757
TSLA,3,6,2025-10-24,2025-11-03,433.72,468.37,11392.5,12302.65,7.989
TSLA,3,6,2025-11-04,2025-11-12,444.26,430.6,12302.65,11924.37,-3.0748
TSLA,3,6,2025-11-13,2025-11-21,401.99,391.09,11924.37,11601.04,-2.7115
TSLA,3,6,2025-12-08,2025-12-16,439.58,489.88,11601.04,12928.52,11.4427
TSLA,3,6,2025-12-17,2025-12-26,467.26,475.19,12928.52,13147.94,1.6971
TSLA,3,6,2025-12-29,2026-01-07,459.64,431.41,13147.94,12340.42,-6.1418
TSLA,3,6,2026-01-20,2026-01-28,419.25,431.46,12340.42,12699.82,2.9123
TSLA,3,6,2026-01-29,2026-02-06,416.56,411.11,12699.82,12533.66,-1.3083
TSLA,3,7,2025-02-21,2025-03-04,337.8,272.04,10000.0,8053.29,-19.4671
TSLA,3,7,2025-03-06,2025-03-17,263.45,238.01,8053.29,7275.62,-9.6565
TSLA,3,7,2025-03-18,2025-03-27,225.31,273.13,7275.62,8819.81,21.2241
TSLA,3,7,2025-03-28,2025-04-08,263.55,221.86,8819.81,7424.63,-15.8186
TSLA,3,7,2025-04-10,2025-04-22,252.4,237.97,7424.63,7000.16,-5.7171
TSLA,3,7,2025-04-30,2025-05-09,282.16,298.26,7000.16,7399.59,5.706
TSLA,3,7,2025-05-30,2025-06-10,346.46,326.09,7399.59,6964.53,-5.8795
TSLA,3,7,2025-06-17,2025-06-27,316.35,323.63,6964.53,7124.8,2.3012
TSLA,3,7,2025-07-01,2025-07-11,300.71,313.51,7124.8,7428.08,4.2566
TSLA,3,7,2025-07-24,2025-08-04,305.3,309.26,7428.08,7524.43,1.2971
TSLA,3,7,2025-08-29,2025-09-10,333.87,347.79,7524.43,7838.14,4.1693
TSLA,3,7,2025-09-25,2025-10-06,423.39,453.25,7838.14,8390.93,7.0526
TSLA,3,7,2025-10-07,2025-10-16,433.09,428.75,8390.93,8306.85,-1.0021
TSLA,3,7,2025-10-24,2025-11-04,433.72,444.26,8306.85,8508.72,2.4301
