Fecha,Ticker,Tipo,Precio,Capital_Invertido,Capital_Recuperado,Beneficio,Retorno_%,Dias,operaciones_abiertas,Total_Invertido_global,Total_disponible
2026-01-08,MU,BUY,327.0199890136719,17117.532769455964,0.0,0.0,0.0,0,6,192722.69072173614,68470.13107782384
2026-01-08,NVDA,BUY,185.0399932861328,13694.026215564769,0.0,0.0,0.0,0,7,206416.7169373009,54776.104862259075
2026-01-09,AMAT,SELL,300.8048400878906,21396.915961819952,22881.41968238539,1484.503720565437,6.937933126504503,1,6,185019.80097548096,77657.52454464446
2026-01-09,MU,SELL,345.0899963378906,17117.532769455964,18063.38914798973,945.8563785337647,5.525658348506424,1,5,167902.26820602498,95720.91369263419
2026-01-12,TSLA,SELL,448.9599914550781,33432.68119034368,34668.18310646242,1235.5019161187374,3.6954915733039773,6,4,134469.58701568132,130389.09679909662
2026-01-12,KLAC,SELL,1426.316650390625,26746.144952274943,28093.201185201713,1347.0562329267705,5.0364500578697236,5,3,107723.44206340636,158482.29798429832
2026-01-12,ON,BUY,58.75,31696.459596859666,0.0,0.0,0.0,0,4,139419.90166026604,126785.83838743865
2026-01-13,AMD,SELL,220.97000122070312,52238.564359911994,53851.90250380967,1613.3381438976794,3.0884044453866277,7,3,87181.33730035403,180637.74089124834
2026-01-13,MRVL,SELL,83.05000305175781,41790.8514879296,39365.606972605645,-2425.2445153239532,-5.803290502526448,7,2,45390.485812424435,220003.34786385397
2026-01-13,LRCX,BUY,214.3800048828125,44000.6695727708,0.0,0.0,0.0,0,3,89391.15538519523,176002.67829108317
2026-01-13,MU,BUY,338.1300048828125,35200.535658216635,0.0,0.0,0.0,0,4,124591.69104341188,140802.14263286654
2026-01-14,MRVL,BUY,81.20999908447266,28160.42852657331,0.0,0.0,0.0,0,5,152752.11956998517,112641.71410629324
2026-01-15,NVDA,SELL,187.0500030517578,13694.026215564769,13842.778525458376,148.75230989360716,1.0862569382592113,7,4,139058.09335442042,126484.49263175161
2026-01-16,MU,SELL,362.75,35200.535658216635,37763.564681115786,2563.0290228991507,7.281221648969072,3,2,59856.888123432975,210009.73918577493
2026-01-16,LRCX,SELL,222.9600067138672,44000.6695727708,45761.68187290753,1761.012300136732,4.002239777793082,3,3,95057.42378164962,172246.17450465914
2026-01-20,AMAT,BUY,317.8336181640625,42001.94783715499,0.0,0.0,0.0,0,3,101858.83596058797,168007.79134861994
2026-01-20,KLAC,BUY,1484.25146484375,33601.55826972399,0.0,0.0,0.0,0,4,135460.39423031197,134406.23307889595
2026-01-20,NVDA,BUY,178.07000732421875,26881.246615779193,0.0,0.0,0.0,0,5,162341.64084609115,107524.98646311676
2026-01-20,TSLA,BUY,419.25,21504.997292623353,0.0,0.0,0.0,0,6,183846.6381387145,86019.98917049341
2026-01-21,MRVL,SELL,82.55000305175781,28160.42852657331,28625.08911481943,464.66058824612264,1.6500480019600916,7,5,155686.2096121412,114645.07828531285
2026-01-22,TSLA,SELL,449.3599853515625,21504.997292623353,23049.458004528613,1544.4607119052598,7.181868897212285,2,4,134181.21231951783,137694.53628984146
2026-01-22,LRCX,BUY,220.6999969482422,27538.907257968294,0.0,0.0,0.0,0,5,161720.11957748613,110155.62903187316
2026-01-23,NVDA,SELL,187.6699981689453,26881.246615779193,28330.450360329272,1449.2037445500791,5.391132953258948,3,4,134838.87296170695,138486.07939220243
2026-01-23,MRVL,BUY,80.2300033569336,27697.21587844049,0.0,0.0,0.0,0,5,162536.08884014742,110788.86351376194
2026-01-26,KLAC,SELL,1541.027587890625,33601.55826972399,34886.89721132269,1285.338941598704,3.825236113400221,6,4,128934.53057042343,145675.76072508463
2026-01-26,AMD,BUY,251.30999755859375,29135.152145016928,0.0,0.0,0.0,0,5,158069.68271544037,116540.60858006771
